task_id,type,plate_id,crane_id,start_seconds,finish_seconds
OUT_L1_P005850_69,outbound,P005850,C1,24909.0,24975.0
R_L1_P002421_P005969_307,relocate,P005969,C1,24975.0,25041.0
R_L1_P002421_P000781_308,relocate,P000781,C1,25041.0,25107.0
OUT_L1_P002421_70,outbound,P002421,C1,25107.0,25173.0
R_L1_P009327_P001017_309,relocate,P001017,C1,25173.0,25239.0
R_L1_P009327_P009297_310,relocate,P009297,C1,25239.0,25305.0
R_L1_P009327_P003813_311,relocate,P003813,C1,25305.0,25371.0
OUT_L1_P009327_71,outbound,P009327,C1,25371.0,25437.0
R_L1_P007581_P008271_312,relocate,P008271,C1,25437.0,25503.0
R_L1_P007581_P003745_313,relocate,P003745,C1,25503.0,25569.0
R_L1_P007581_P000562_314,relocate,P000562,C1,25569.0,25635.0
R_L1_P007581_P005403_315,relocate,P005403,C1,25635.0,25701.0
R_L1_P007581_P005489_316,relocate,P005489,C1,25701.0,25767.0
R_L1_P007581_P003658_317,relocate,P003658,C1,25767.0,25833.0
R_L1_P007581_P004563_318,relocate,P004563,C1,25833.0,25899.0
R_L1_P007581_P007643_319,relocate,P007643,C1,25899.0,25965.0
