task_id,type,plate_id,crane_id,start_seconds,finish_seconds
R_L1_P001477_P007519_85,relocate,P007519,C1,14388.0,14454.0
R_L1_P001477_P002378_86,relocate,P002378,C1,14454.0,14520.0
OUT_L1_P001477_135,outbound,P001477,C1,14520.0,14586.0
R_L1_P001672_P005222_87,relocate,P005222,C1,14586.0,14652.0
R_L1_P001672_P003171_88,relocate,P003171,C1,14652.0,14718.0
OUT_L1_P001672_136,outbound,P001672,C1,14718.0,14784.0
R_L1_P002669_P004162_89,relocate,P004162,C1,14784.0,14850.0
R_L1_P002669_P006311_90,relocate,P006311,C1,14850.0,14916.0
OUT_L1_P002669_137,outbound,P002669,C1,14916.0,14982.0
R_L1_P003158_P005359_91,relocate,P005359,C1,14982.0,15048.0
R_L1_P003158_P006698_92,relocate,P006698,C1,15048.0,15114.0
OUT_L1_P003158_138,outbound,P003158,C1,15114.0,15180.0
R_L1_P006778_P004091_93,relocate,P004091,C1,15180.0,15246.0
R_L1_P006778_P005143_94,relocate,P005143,C1,15246.0,15312.0
OUT_L1_P006778_139,outbound,P006778,C1,15312.0,15378.0
R_L1_P001963_P006778_95,relocate,P006778,C1,15378.0,15444.0
OUT_L1_P001963_140,outbound,P001963,C1,15444.0,15510.0
R_L1_P009672_P001846_96,relocate,P001846,C1,15510.0,15576.0
R_L1_P009672_P007222_97,relocate,P007222,C1,15576.0,15642.0
OUT_L1_P009672_141,outbound,P009672,C1,15642.0,15708.0
R_L1_P006792_P003206_98,relocate,P003206,C1,15708.0,15774.0
R_L1_P006792_P002009_99,relocate,P002009,C1,15774.0,15840.0
OUT_L1_P006792_142,outbound,P006792,C1,15840.0,15906.0
R_L1_P004869_P006792_100,relocate,P006792,C1,15906.0,15972.0
OUT_L1_P004869_143,outbound,P004869,C1,15972.0,16038.0
R_L1_P006996_P008579_101,relocate,P008579,C1,16038.0,16104.0
R_L1_P006996_P002689_102,relocate,P002689,C1,16104.0,16170.0
OUT_L1_P006996_144,outbound,P006996,C1,16170.0,16236.0
R_L1_P005391_P005438_103,relocate,P005438,C1,16236.0,16302.0
R_L1_P005391_P006729_104,relocate,P006729,C1,16302.0,16368.0
OUT_L1_P005391_145,outbound,P005391,C1,16368.0,16434.0
R_L1_P005299_P006007_105,relocate,P006007,C1,16434.0,16500.0
R_L1_P005299_P002734_106,relocate,P002734,C1,16500.0,16566.0
OUT_L1_P005299_146,outbound,P005299,C1,16566.0,16632.0
R_L1_P009660_P007787_107,relocate,P007787,C1,16632.0,16698.0
R_L1_P009660_P002035_108,relocate,P002035,C1,16698.0,16764.0
OUT_L1_P009660_147,outbound,P009660,C1,16764.0,16830.0
R_L1_P008291_P009269_109,relocate,P009269,C1,16830.0,16896.0
