cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,351,P004197,67716.0,67716.0,67782.0
L1,352,P005994,68046.0,68046.0,68112.0
L1,353,P002165,68376.0,68376.0,68442.0
L1,354,P006308,68706.0,68706.0,68772.0
L1,355,P002142,68838.0,68838.0,68904.0
L1,356,P003185,69168.0,69168.0,69234.0
L1,357,P002996,69366.0,69366.0,69432.0
L1,358,P007648,69630.0,69630.0,69696.0
L1,359,P008146,69960.0,69960.0,70026.0
L1,360,P001465,70290.0,70290.0,70356.0
L1,361,P009372,70488.0,70488.0,70554.0
L1,362,P001701,70818.0,70818.0,70884.0
L1,363,P004851,71082.0,71082.0,71148.0
L1,364,P009656,71412.0,71412.0,71478.0
L1,365,P008846,71742.0,71742.0,71808.0
L1,366,P001276,71940.0,71940.0,72006.0
L1,367,P003140,72204.0,72204.0,72270.0
L1,368,P009729,72468.0,72468.0,72534.0
L1,369,P006125,72600.0,72600.0,72666.0
L1,370,P005159,72864.0,72864.0,72930.0
L1,371,P002060,73194.0,73194.0,73260.0
L1,372,P006446,73524.0,73524.0,73590.0
L1,373,P002656,73854.0,73854.0,73920.0
L1,374,P005903,74052.0,74052.0,74118.0
L1,375,P009953,74382.0,74382.0,74448.0
L1,376,P001275,74712.0,74712.0,74778.0
L1,377,P005135,74910.0,74910.0,74976.0
L1,378,P001834,75108.0,75108.0,75174.0
L1,379,P005556,75438.0,75438.0,75504.0
L1,380,P004100,75768.0,75768.0,75834.0
L1,381,P005675,76098.0,76098.0,76164.0
L1,382,P002789,76230.0,76230.0,76296.0
L1,383,P003288,76560.0,76560.0,76626.0
L1,384,P002973,76890.0,76890.0,76956.0
L1,385,P000106,77220.0,77220.0,77286.0
L1,386,P009590,77418.0,77418.0,77484.0
L1,387,P002242,77748.0,77748.0,77814.0
L1,388,P005230,78012.0,78012.0,78078.0
L1,389,P003411,78342.0,78342.0,78408.0
L1,390,P009651,78606.0,78606.0,78672.0
L1,391,P001228,78738.0,78738.0,78804.0
L1,392,P006436,78936.0,78936.0,79002.0
L1,393,P005431,79134.0,79134.0,79200.0
L1,394,P007491,79266.0,79266.0,79332.0
L1,395,P002360,79596.0,79596.0,79662.0
L1,396,P004479,79926.0,79926.0,79992.0
L1,397,P008562,80190.0,80190.0,80256.0
L1,398,P002222,80388.0,80388.0,80454.0
L1,399,P006879,80784.0,80784.0,80850.0
L1,400,P009015,81180.0,81180.0,81246.0
L1,401,P008754,81576.0,81576.0,81642.0
L1,402,P000022,81972.0,81972.0,82038.0
L1,403,P005738,82368.0,82368.0,82434.0
L1,404,P007542,82632.0,82632.0,82698.0
L1,405,P009266,83028.0,83028.0,83094.0
L1,406,P008719,83424.0,83424.0,83490.0
L1,407,P004417,83820.0,83820.0,83886.0
L1,408,P001502,83952.0,83952.0,84018.0
L1,409,P008307,84348.0,84348.0,84414.0
L1,410,P009804,84744.0,84744.0,84810.0
L1,411,P005695,85008.0,85008.0,85074.0
L1,412,P002931,85404.0,85404.0,85470.0
L1,413,P001425,85800.0,85800.0,85866.0
L1,414,P000132,86196.0,86196.0,86262.0
L1,415,P000937,86328.0,86328.0,86394.0
L1,416,P001233,86724.0,86724.0,86790.0
L1,417,P008438,87120.0,87120.0,87186.0
L1,418,P007842,87516.0,87516.0,87582.0
L1,419,P005581,87648.0,87648.0,87714.0
L1,420,P004846,88044.0,88044.0,88110.0
L1,421,P006708,88440.0,88440.0,88506.0
L1,422,P000583,88638.0,88638.0,88704.0
L1,423,P007426,88836.0,88836.0,88902.0
