cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,352,P004328,172260.0,172260.0,172326.0
L1,353,P001230,172326.0,172326.0,172392.0
L1,354,P006785,173382.0,173382.0,173448.0
L1,355,P007675,173778.0,173778.0,173844.0
L1,356,P002543,173844.0,173844.0,173910.0
L1,357,P006058,174306.0,174306.0,174372.0
L1,358,P006036,175164.0,175164.0,175230.0
L1,359,P005070,175230.0,175230.0,175296.0
L1,360,P003736,175296.0,175296.0,175362.0
L1,361,P007230,175362.0,175362.0,175428.0
L1,362,P006779,175758.0,175758.0,175824.0
L1,363,P004231,175824.0,175824.0,175890.0
L1,364,P003663,175890.0,175890.0,175956.0
L1,365,P003934,176088.0,176088.0,176154.0
L1,366,P000141,176154.0,176154.0,176220.0
L1,367,P002293,176946.0,176946.0,177012.0
L1,368,P000880,177012.0,177012.0,177078.0
L1,369,P000532,177342.0,177342.0,177408.0
L1,370,P007425,178398.0,178398.0,178464.0
L1,371,P005507,179322.0,179322.0,179388.0
L1,372,P003650,179850.0,179850.0,179916.0
L1,373,P005674,180312.0,180312.0,180378.0
L1,374,P003845,180510.0,180510.0,180576.0
L1,375,P003065,180576.0,180576.0,180642.0
L1,376,P000790,180642.0,180642.0,180708.0
L1,377,P001527,180708.0,180708.0,180774.0
L1,378,P006407,180774.0,180774.0,180840.0
L1,379,P002823,181104.0,181104.0,181170.0
L1,380,P006467,181434.0,181434.0,181500.0
L1,381,P005699,182358.0,182358.0,182424.0
L1,382,P003318,183018.0,183018.0,183084.0
L1,383,P000651,183414.0,183414.0,183480.0
L1,384,P001057,183612.0,183612.0,183678.0
L1,385,P001405,183678.0,183678.0,183744.0
L1,386,P003026,184272.0,184272.0,184338.0
L1,387,P001807,184338.0,184338.0,184404.0
L1,388,P006628,185196.0,185196.0,185262.0
L1,389,P002802,186186.0,186186.0,186252.0
L1,390,P005299,187110.0,187110.0,187176.0
L1,391,P000328,187176.0,187176.0,187242.0
L1,392,P001621,187374.0,187374.0,187440.0
L1,393,P000697,187902.0,187902.0,187968.0
L1,394,P001122,188034.0,188034.0,188100.0
L1,395,P004099,188628.0,188628.0,188694.0
L1,396,P005881,188694.0,188694.0,188760.0
L1,397,P003388,188760.0,188760.0,188826.0
L1,398,P005159,189024.0,189024.0,189090.0
L1,399,P006873,189552.0,189552.0,189618.0
L1,400,P005445,190344.0,190344.0,190410.0
L1,401,P006249,190872.0,190872.0,190938.0
L1,402,P006679,191532.0,191532.0,191598.0
L1,403,P001413,191730.0,191730.0,191796.0
L1,404,P005625,192258.0,192258.0,192324.0
L1,405,P001145,192324.0,192324.0,192390.0
L1,406,P006807,192390.0,192390.0,192456.0
L1,407,P004812,192720.0,192720.0,192786.0
L1,408,P001320,193314.0,193314.0,193380.0
L1,409,P006724,194172.0,194172.0,194238.0
L1,410,P000744,194238.0,194238.0,194304.0
L1,411,P002775,194898.0,194898.0,194964.0
L1,412,P001595,195294.0,195294.0,195360.0
L1,413,P005975,195954.0,195954.0,196020.0
L1,414,P003953,196614.0,196614.0,196680.0
L1,415,P003457,196746.0,196746.0,196812.0
L1,416,P001070,196812.0,196812.0,196878.0
L1,417,P003781,197538.0,197538.0,197604.0
L1,418,P005222,198264.0,198264.0,198330.0
L1,419,P003680,198330.0,198330.0,198396.0
L1,420,P000214,198924.0,198924.0,198990.0
L1,421,P001729,199056.0,199056.0,199122.0
L1,422,P005233,200112.0,200112.0,200178.0
