task_id,type,plate_id,crane_id,start_seconds,finish_seconds
R_L1_P001621_P001623_2448,relocate,P001623,C1,187308.0,187374.0
OUT_L1_P001621_392,outbound,P001621,C1,187374.0,187440.0
R_L1_P000697_P000698_2449,relocate,P000698,C1,187440.0,187506.0
R_L1_P000697_P000699_2450,relocate,P000699,C1,187506.0,187572.0
R_L1_P000697_P000700_2451,relocate,P000700,C1,187572.0,187638.0
R_L1_P000697_P000701_2452,relocate,P000701,C1,187638.0,187704.0
R_L1_P000697_P000702_2453,relocate,P000702,C1,187704.0,187770.0
R_L1_P000697_P000703_2454,relocate,P000703,C1,187770.0,187836.0
R_L1_P000697_P000704_2455,relocate,P000704,C1,187836.0,187902.0
OUT_L1_P000697_393,outbound,P000697,C1,187902.0,187968.0
R_L1_P001122_P001123_2456,relocate,P001123,C1,187968.0,188034.0
OUT_L1_P001122_394,outbound,P001122,C1,188034.0,188100.0
R_L1_P004099_P004100_2457,relocate,P004100,C1,188100.0,188166.0
R_L1_P004099_P004101_2458,relocate,P004101,C1,188166.0,188232.0
R_L1_P004099_P004102_2459,relocate,P004102,C1,188232.0,188298.0
R_L1_P004099_P004103_2460,relocate,P004103,C1,188298.0,188364.0
R_L1_P004099_P004104_2461,relocate,P004104,C1,188364.0,188430.0
R_L1_P004099_P004105_2462,relocate,P004105,C1,188430.0,188496.0
R_L1_P004099_P004106_2463,relocate,P004106,C1,188496.0,188562.0
R_L1_P004099_P004107_2464,relocate,P004107,C1,188562.0,188628.0
OUT_L1_P004099_395,outbound,P004099,C1,188628.0,188694.0
OUT_L1_P005881_396,outbound,P005881,C1,188694.0,188760.0
OUT_L1_P003388_397,outbound,P003388,C1,188760.0,188826.0
R_L1_P005159_P005160_2465,relocate,P005160,C1,188826.0,188892.0
R_L1_P005159_P005161_2466,relocate,P005161,C1,188892.0,188958.0
R_L1_P005159_P005162_2467,relocate,P005162,C1,188958.0,189024.0
OUT_L1_P005159_398,outbound,P005159,C1,189024.0,189090.0
R_L1_P006873_P006874_2468,relocate,P006874,C1,189090.0,189156.0
R_L1_P006873_P006875_2469,relocate,P006875,C1,189156.0,189222.0
R_L1_P006873_P006876_2470,relocate,P006876,C1,189222.0,189288.0
R_L1_P006873_P006877_2471,relocate,P006877,C1,189288.0,189354.0
R_L1_P006873_P006878_2472,relocate,P006878,C1,189354.0,189420.0
R_L1_P006873_P006879_2473,relocate,P006879,C1,189420.0,189486.0
R_L1_P006873_P006880_2474,relocate,P006880,C1,189486.0,189552.0
OUT_L1_P006873_399,outbound,P006873,C1,189552.0,189618.0
R_L1_P005445_P005446_2475,relocate,P005446,C1,189618.0,189684.0
R_L1_P005445_P005447_2476,relocate,P005447,C1,189684.0,189750.0
